gene,avg_logFC,p_val_adj,gene_set,scores,p_val
DSG4,3.2208169,0.0026442604463183,Other,3.1760936,0.0014927276713087
RRM2,3.212797,6.477375836369926e-26,Other,10.789652,3.85247151558292e-27
TAC1,-3.1912255,9.553913476105325e-16,Other,-8.27268,1.3098107184983106e-16
IGFBP3,-3.183323,1.5338921492827582e-38,EMT_hallmark,-13.271181,3.401776943973859e-40
MKX,3.1658208,1.4188702839503163e-35,Other,12.722507,4.433969637344738e-37
VEGFA,-3.1452017,1.7565712600143383e-47,EMT_hallmark,-14.821587,1.062442294363511e-49
DKK4,3.1410885,7.383342742789469e-45,Other,14.368252,8.187174412367355e-47
NUSAP1,3.1134193,9.132069420926275e-25,Other,10.536058,5.891657690920177e-26
COL27A1,-3.1091087,1.1115398347046786e-20,Other,-9.577187,9.972484404104477e-22
IL4I1,-3.1016805,4.951061320392535e-12,Other,-7.134946,9.682519114477337e-13
IL1RN,3.0795255,6.780893389038281e-09,Other,6.0120487,1.8319349075224382e-09
ADAMTS8,3.0617363,5.321788461276264e-14,Other,7.7594495,8.529882715150463e-15
DKK1,3.0517657,1.831200208788656e-36,EMT_hallmark,12.89505,4.79951667626059e-38
IKZF3,3.000245,5.849443235748189e-33,Other,12.235654,2.004849496123371e-34
IGFN1,2.9969406,0.0015529566704558,Other,3.3354478,0.0008516213999273
ADGRB1,-2.9904351,5.784082092822686e-09,Other,-6.038974,1.5509736256964054e-09
CLIC5,2.9030654,9.7891776301981e-28,Other,11.183091,4.9340613055433965e-29
